r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper_state
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.836789732496584e-09,0.0,9.836789732496585e-10,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.857682861074477e-08,0.0,7.857682861074477e-09,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6480058636521583e-07,0.0,2.6480058636521584e-08,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.267370481523314e-07,0.0,6.267370481523314e-08,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.222264416821344e-06,0.0,1.222264416821344e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1089108151812174e-06,0.0,2.1089108151812175e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.343854988267514e-06,0.0,3.343854988267514e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.983927005609262e-06,0.0,4.983927005609262e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.085608963495851e-06,0.0,7.085608963495852e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.705035687243916e-06,0.0,9.705035687243916e-07,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2897995433464192e-05,0.0,1.2897995433464192e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6719930592328427e-05,0.0,1.6719930592328428e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1225938389836255e-05,0.0,2.1225938389836256e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6470771590082055e-05,0.0,2.6470771590082055e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.250883919752185e-05,0.0,3.2508839197521855e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.939420715924022e-05,0.0,3.939420715924022e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.718059906721712e-05,0.0,4.718059906721712e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.592139686059476e-05,0.0,5.5921396860594765e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.566964152794463e-05,0.0,6.566964152794463e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.647803380953415e-05,0.0,7.647803380953415e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.83989348995937e-05,0.0,8.83989348995937e-06,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00010148436714858351,0.0,1.0148436714858353e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00011578601476546052,0.0,1.1578601476546053e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0001313552245199451,0.0,1.313552245199451e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00014824300644478836,0.0,1.4824300644478836e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0001665000345380384,0.0,1.665000345380384e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00018617664746530785,0.0,1.8617664746530785e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00020732284926204013,0.0,2.0732284926204013e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002299883100357768,0.0,2.299883100357768e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00025422236666842443,0.0,2.5422236666842443e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00028007402351852133,0.0,2.8007402351852134e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003075919531235039,0.0,3.0759195312350394e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003368244969019748,0.0,3.368244969019748e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00036781966585596853,0.0,3.678196658559685e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00040062514127321914,0.0,4.0062514127321916e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0004352882754294264,0.0,4.352882754294264e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000471856092290524,0.0,4.71856092290524e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005103752882149446,0.0,5.103752882149447e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005508922326558882,0.0,5.5089223265588824e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005934529688635882,0.0,5.934529688635882e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006381032145875788,0.0,6.381032145875789e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006848883627789611,0.0,6.84888362778961e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0007338534822926714,0.0,7.338534822926715e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0007850433185897468,0.0,7.850433185897469e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008385022944395921,0.0,8.385022944395923e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008942745106222474,0.0,8.942745106222474e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0009524037466306548,0.0,9.524037466306548e-05,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001012933461372924,0.0,0.0001012933461372924,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010759067938746027,0.0,0.00010759067938746028,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0011413665639809386,0.0,0.00011413665639809386,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0012093552730591504,0.0,0.00012093552730591504,0.0
